requestID,eventTime,eventName,eventSource,sourceIPAddress,awsRegion,userIdentity,userAgent,errorCode,failedLoginAttempts,apiCallFrequency,geoAnomaly,rootAccountUsage,offHoursAccess,mfaDisabled,errorFlag,sensitiveAPICall,label
req-00027d-8144,2024-01-20T08:47:23Z,GetCallerIdentity,sts.amazonaws.com,10.0.1.20,ap-south-1,svc-billing,Boto3/1.28.0,,4,8,0,0,0,0,0,0,NORMAL
req-0003ce-1159,2024-01-06T00:16:56Z,DeleteTrail,cloudtrail.amazonaws.com,45.155.205.12,ru-central-1,admin,Mozilla/5.0 (unknown),AccessDenied,9,41,1,1,1,1,1,1,ATTACK
req-0003ab-9247,2024-01-24T03:48:39Z,CreateLoginProfile,iam.amazonaws.com,203.0.113.99,sa-east-1,admin,python-requests/2.31,AccessDenied,39,32,1,1,1,1,1,1,ATTACK
req-000384-9036,2024-01-27T05:55:11Z,PutBucketPolicy,s3.amazonaws.com,198.51.100.77,ru-central-1,root,python-requests/2.31,,1,92,1,0,0,0,0,0,SUSPICIOUS
req-000119-7590,2024-01-21T11:45:32Z,ConsoleLogin,signin.amazonaws.com,192.168.1.100,ca-central-1,devops,AWS Internal,,3,7,0,0,0,0,0,0,NORMAL
req-000374-3436,2024-01-06T19:12:54Z,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,103.21.244.0,sa-east-1,svc-lambda,curl/7.88.1,,4,100,1,0,0,0,0,0,SUSPICIOUS
req-0002fa-6862,2024-01-15T06:00:14Z,RunInstances,ec2.amazonaws.com,203.0.113.99,ru-central-1,svc-billing,Go-http-client/1.1,,0,55,1,0,0,0,0,0,SUSPICIOUS
req-000140-2228,2024-01-11T08:10:56Z,ConsoleLogin,signin.amazonaws.com,172.31.0.10,us-east-1,terraform-svc,Boto3/1.28.0,,3,3,0,0,0,0,0,0,NORMAL
req-000226-8464,2024-01-19T14:08:05Z,AssumeRole,sts.amazonaws.com,10.0.1.20,ca-central-1,iam-readonly,Terraform/1.5.0,,3,2,0,0,0,0,0,0,NORMAL
req-0000af-7850,2024-01-04T09:03:18Z,GetCallerIdentity,sts.amazonaws.com,172.16.0.5,ap-south-1,devops,Boto3/1.28.0,,3,14,0,0,0,0,0,0,NORMAL
req-000174-2442,2024-01-03T10:29:28Z,GetObject,s3.amazonaws.com,10.0.0.1,ap-northeast-1,devops,Boto3/1.28.0,,4,8,0,0,0,0,0,0,NORMAL
req-000210-2784,2024-01-10T16:21:58Z,ConsoleLogin,signin.amazonaws.com,54.239.28.85,ap-south-1,api-user,aws-cli/2.13.0,,0,1,0,0,0,0,0,0,NORMAL
req-0000d3-8191,2024-01-02T20:15:47Z,DescribeInstances,ec2.amazonaws.com,10.0.0.1,eu-west-2,svc-lambda,Terraform/1.5.0,,0,7,0,0,0,0,0,0,NORMAL
req-0000ec-8353,2024-01-04T11:08:05Z,DescribeInstances,ec2.amazonaws.com,172.16.0.5,us-east-1,svc-billing,aws-cli/2.13.0,,1,7,0,0,0,0,0,0,NORMAL
req-000066-1410,2024-01-12T17:06:43Z,ConsoleLogin,signin.amazonaws.com,54.239.28.85,us-east-1,devops,console.aws.amazon.com,,1,8,0,0,0,0,0,0,NORMAL
req-0003db-1877,2024-01-12T23:08:39Z,CreateLoginProfile,iam.amazonaws.com,45.155.205.12,sa-east-1,root,Go-http-client/1.1,,39,92,1,1,1,1,0,1,ATTACK
req-000387-8871,2024-01-26T00:06:34Z,DeleteTrail,cloudtrail.amazonaws.com,203.0.113.99,ru-central-1,john.doe,curl/7.88.1,AccessDenied,26,30,1,0,1,0,1,1,ATTACK
req-0003b4-7148,2024-01-03T03:31:40Z,DeleteTrail,cloudtrail.amazonaws.com,203.0.113.99,ap-northeast-1,john.doe,libwww-perl/6.07,,9,46,1,0,1,1,0,1,ATTACK
req-00015b-3967,2024-01-12T17:32:19Z,DescribeInstances,ec2.amazonaws.com,10.0.2.45,ap-northeast-1,devops,console.aws.amazon.com,,1,14,0,0,0,0,0,0,NORMAL
req-00008c-2264,2024-01-16T19:12:14Z,GetCallerIdentity,sts.amazonaws.com,10.0.0.1,ca-central-1,svc-billing,Boto3/1.28.0,,1,3,0,0,0,0,0,0,NORMAL
req-00026e-6021,2024-01-15T15:29:19Z,ListBuckets,s3.amazonaws.com,10.0.2.45,ap-northeast-1,api-user,Terraform/1.5.0,,4,3,0,0,0,0,0,0,NORMAL
req-0001f4-7124,2024-01-05T16:28:02Z,AssumeRole,sts.amazonaws.com,172.16.0.5,us-west-2,iam-readonly,Boto3/1.28.0,,1,4,0,0,0,0,0,0,NORMAL
req-000173-6421,2024-01-03T09:48:31Z,ConsoleLogin,signin.amazonaws.com,172.31.5.22,eu-west-2,devops,Terraform/1.5.0,,2,4,0,0,0,0,0,0,NORMAL
req-0000c7-1187,2024-01-15T10:48:17Z,ConsoleLogin,signin.amazonaws.com,172.16.0.5,us-east-1,svc-billing,Boto3/1.28.0,,2,5,0,0,0,0,0,0,NORMAL
req-0002b0-2815,2024-01-21T10:19:20Z,ListBuckets,s3.amazonaws.com,172.16.0.5,ap-northeast-1,admin,Terraform/1.5.0,,4,2,0,0,0,0,0,0,NORMAL
req-000249-8144,2024-01-01T16:32:45Z,GetObject,s3.amazonaws.com,10.0.1.20,us-west-2,terraform-svc,Boto3/1.28.0,,3,8,0,0,0,0,0,0,NORMAL
req-000386-1716,2024-01-04T23:24:24Z,CreateLoginProfile,iam.amazonaws.com,192.0.2.45,cn-north-1,john.doe,python-requests/2.31,UnauthorizedOperation,6,34,1,0,1,1,1,1,ATTACK
req-00003c-3506,2024-01-21T12:57:53Z,ListBuckets,s3.amazonaws.com,10.0.0.1,eu-west-2,devops,Terraform/1.5.0,,3,12,0,0,0,0,0,0,NORMAL
req-000149-8133,2024-01-05T10:02:27Z,GetObject,s3.amazonaws.com,52.94.228.167,us-east-1,john.doe,AWS Internal,,0,11,0,0,0,0,0,0,NORMAL
req-000061-3240,2024-01-21T10:12:39Z,DescribeSecurityGroups,ec2.amazonaws.com,172.31.5.22,us-east-1,iam-readonly,console.aws.amazon.com,,2,11,0,0,0,0,0,0,NORMAL
req-000139-8982,2024-01-11T11:08:10Z,GetObject,s3.amazonaws.com,54.239.28.85,eu-west-2,admin,AWS Internal,,3,13,0,0,0,0,0,0,NORMAL
req-0003cf-3401,2024-01-19T00:43:18Z,PutUserPolicy,iam.amazonaws.com,192.0.2.45,cn-north-1,root,Mozilla/5.0 (unknown),,19,87,1,1,1,1,0,1,ATTACK
req-00012c-8570,2024-01-18T14:47:35Z,AssumeRole,sts.amazonaws.com,192.168.1.100,ap-south-1,devops,AWS Internal,,1,2,0,0,0,0,0,0,NORMAL
req-000116-1894,2024-01-20T15:32:12Z,AssumeRole,sts.amazonaws.com,10.0.1.20,ap-northeast-1,svc-billing,AWS Internal,,3,5,0,0,0,0,0,0,NORMAL
req-00039d-3935,2024-01-06T02:04:17Z,PutUserPolicy,iam.amazonaws.com,192.0.2.45,us-east-1,root,Go-http-client/1.1,,28,65,1,1,1,0,0,1,ATTACK
req-00025a-1476,2024-01-30T07:34:11Z,DescribeInstances,ec2.amazonaws.com,10.0.1.20,eu-west-2,admin,AWS Internal,,1,13,0,0,0,0,0,0,NORMAL
req-0001b8-1448,2024-01-22T14:29:57Z,GetObject,s3.amazonaws.com,34.224.10.5,us-west-2,terraform-svc,console.aws.amazon.com,,4,14,0,0,0,0,0,0,NORMAL
req-000346-6333,2024-01-27T20:20:01Z,PutBucketPolicy,s3.amazonaws.com,91.108.4.1,cn-north-1,root,Mozilla/5.0 (unknown),,2,25,1,0,0,0,0,0,SUSPICIOUS
req-00023b-8317,2024-01-06T16:58:37Z,DescribeInstances,ec2.amazonaws.com,10.0.1.20,us-east-1,svc-lambda,Boto3/1.28.0,,1,11,0,0,0,0,0,0,NORMAL
req-000370-4260,2024-01-24T13:21:57Z,GetSecretValue,secretsmanager.amazonaws.com,203.0.113.99,us-east-1,root,Mozilla/5.0 (unknown),,0,40,1,0,0,0,0,1,SUSPICIOUS
req-000106-2923,2024-01-12T11:55:52Z,AssumeRole,sts.amazonaws.com,10.0.1.20,ca-central-1,admin,Boto3/1.28.0,,0,8,0,0,0,0,0,0,NORMAL
req-000243-4552,2024-01-20T07:05:03Z,ConsoleLogin,signin.amazonaws.com,52.94.228.167,us-east-1,john.doe,Boto3/1.28.0,,4,11,0,0,0,0,0,0,NORMAL
req-000018-4044,2024-01-06T15:03:32Z,ConsoleLogin,signin.amazonaws.com,54.239.28.85,eu-west-2,terraform-svc,aws-cli/2.13.0,,0,14,0,0,0,0,0,0,NORMAL
req-00001f-1158,2024-01-24T09:28:35Z,DescribeSecurityGroups,ec2.amazonaws.com,10.0.0.1,ap-south-1,terraform-svc,Boto3/1.28.0,,3,9,0,0,0,0,0,0,NORMAL
req-00026a-8501,2024-01-26T18:56:04Z,AssumeRole,sts.amazonaws.com,34.224.10.5,ap-northeast-1,iam-readonly,Boto3/1.28.0,,1,15,0,0,0,0,0,0,NORMAL
req-00000b-9797,2024-01-28T15:00:43Z,ListBuckets,s3.amazonaws.com,54.239.28.85,eu-west-2,svc-billing,Terraform/1.5.0,,0,11,0,0,0,0,0,0,NORMAL
req-0000de-9037,2024-01-11T17:16:48Z,DescribeInstances,ec2.amazonaws.com,54.239.28.85,eu-west-2,svc-lambda,AWS Internal,,3,12,0,0,0,0,0,0,NORMAL
req-000335-5079,2024-01-07T23:15:27Z,CreateAccessKey,iam.amazonaws.com,192.0.2.45,us-east-1,john.doe,console.aws.amazon.com,UnauthorizedOperation,1,97,1,0,1,0,1,0,SUSPICIOUS
req-000129-8635,2024-01-04T16:09:06Z,DescribeInstances,ec2.amazonaws.com,192.168.1.100,us-east-1,iam-readonly,aws-cli/2.13.0,,1,8,0,0,0,0,0,0,NORMAL
req-000037-1508,2024-01-08T12:41:04Z,DescribeInstances,ec2.amazonaws.com,10.0.0.1,ap-northeast-1,terraform-svc,aws-cli/2.13.0,,0,13,0,0,0,0,0,0,NORMAL
req-00021f-1598,2024-01-17T20:43:08Z,AssumeRole,sts.amazonaws.com,34.224.10.5,ap-south-1,iam-readonly,console.aws.amazon.com,,1,12,0,0,0,0,0,0,NORMAL
req-0000d2-1256,2024-01-02T08:51:42Z,DescribeInstances,ec2.amazonaws.com,54.239.28.85,ca-central-1,svc-lambda,Boto3/1.28.0,,3,10,0,0,0,0,0,0,NORMAL
req-00025d-6503,2024-01-07T18:40:22Z,ConsoleLogin,signin.amazonaws.com,172.31.5.22,eu-west-2,john.doe,Terraform/1.5.0,,2,4,0,0,0,0,0,0,NORMAL
req-0002b5-4328,2024-01-27T14:43:31Z,GetObject,s3.amazonaws.com,172.16.0.5,eu-west-2,terraform-svc,console.aws.amazon.com,,0,4,0,0,0,0,0,0,NORMAL
req-000297-5660,2024-01-19T14:24:39Z,ListBuckets,s3.amazonaws.com,52.94.228.167,ap-northeast-1,devops,AWS Internal,,2,13,0,0,0,0,0,0,NORMAL
req-000363-2623,2024-01-19T22:55:18Z,GetSecretValue,secretsmanager.amazonaws.com,198.51.100.77,ru-central-1,devops,AWS Internal,,4,54,1,0,1,0,0,1,SUSPICIOUS
req-000047-1986,2024-01-10T14:55:37Z,ListBuckets,s3.amazonaws.com,10.0.2.45,ap-northeast-1,devops,Boto3/1.28.0,,3,5,0,0,0,0,0,0,NORMAL
req-000220-8649,2024-01-28T17:38:55Z,GetCallerIdentity,sts.amazonaws.com,10.0.2.45,ap-south-1,terraform-svc,Terraform/1.5.0,,0,6,0,0,0,0,0,0,NORMAL
req-00006c-4394,2024-01-26T09:36:13Z,ListBuckets,s3.amazonaws.com,34.224.10.5,us-west-2,john.doe,aws-cli/2.13.0,,0,14,0,0,0,0,0,0,NORMAL
req-0001ee-1187,2024-01-04T20:55:49Z,AssumeRole,sts.amazonaws.com,172.31.5.22,ca-central-1,devops,Boto3/1.28.0,,1,12,0,0,0,0,0,0,NORMAL
req-00024f-4817,2024-01-22T14:55:55Z,AssumeRole,sts.amazonaws.com,10.0.0.1,us-west-2,svc-lambda,aws-cli/2.13.0,,4,3,0,0,0,0,0,0,NORMAL
req-0002e6-3364,2024-01-23T14:59:31Z,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,45.155.205.12,ap-northeast-1,svc-billing,python-requests/2.31,,3,40,1,0,0,0,0,0,SUSPICIOUS
req-000125-6038,2024-01-01T12:48:42Z,ConsoleLogin,signin.amazonaws.com,34.224.10.5,us-west-2,admin,console.aws.amazon.com,,3,14,0,0,0,0,0,0,NORMAL
req-000122-5625,2024-01-02T15:25:04Z,ListBuckets,s3.amazonaws.com,172.16.0.5,ap-south-1,john.doe,console.aws.amazon.com,,3,14,0,0,0,0,0,0,NORMAL
req-00028d-7672,2024-01-24T16:19:43Z,ListBuckets,s3.amazonaws.com,10.0.0.1,ap-south-1,svc-billing,Boto3/1.28.0,,3,4,0,0,0,0,0,0,NORMAL
req-000028-7691,2024-01-29T18:19:32Z,ConsoleLogin,signin.amazonaws.com,10.0.1.20,us-east-1,iam-readonly,Boto3/1.28.0,,2,11,0,0,0,0,0,0,NORMAL
req-00024e-6533,2024-01-15T19:01:02Z,GetCallerIdentity,sts.amazonaws.com,10.0.2.45,eu-west-2,terraform-svc,console.aws.amazon.com,,2,1,0,0,0,0,0,0,NORMAL
req-000134-7363,2024-01-02T18:48:14Z,GetObject,s3.amazonaws.com,172.16.0.5,us-east-1,iam-readonly,console.aws.amazon.com,,4,14,0,0,0,0,0,0,NORMAL
req-0002a8-9740,2024-01-09T13:55:37Z,GetObject,s3.amazonaws.com,192.168.1.100,us-east-1,svc-billing,aws-cli/2.13.0,,0,8,0,0,0,0,0,0,NORMAL
req-000043-3939,2024-01-27T08:12:18Z,AssumeRole,sts.amazonaws.com,192.168.1.100,us-west-2,api-user,Terraform/1.5.0,,1,6,0,0,0,0,0,0,NORMAL
req-000114-2646,2024-01-15T17:55:13Z,GetCallerIdentity,sts.amazonaws.com,10.0.2.45,ap-south-1,devops,console.aws.amazon.com,,0,15,0,0,0,0,0,0,NORMAL
req-000044-1200,2024-01-23T11:08:40Z,DescribeInstances,ec2.amazonaws.com,10.0.2.45,ap-south-1,admin,aws-cli/2.13.0,,3,2,0,0,0,0,0,0,NORMAL
req-00013f-8393,2024-01-19T20:41:48Z,GetCallerIdentity,sts.amazonaws.com,54.239.28.85,ap-south-1,devops,Terraform/1.5.0,,1,3,0,0,0,0,0,0,NORMAL
req-000225-4246,2024-01-20T14:22:19Z,GetCallerIdentity,sts.amazonaws.com,10.0.2.45,ap-northeast-1,svc-lambda,AWS Internal,,2,14,0,0,0,0,0,0,NORMAL
req-0003e7-7132,2024-01-20T00:16:07Z,DeleteTrail,cloudtrail.amazonaws.com,192.0.2.45,cn-north-1,john.doe,Go-http-client/1.1,UnauthorizedOperation,7,29,1,0,1,0,1,1,ATTACK
req-0002cb-1293,2024-01-28T08:43:06Z,PutBucketPolicy,s3.amazonaws.com,192.0.2.45,ap-northeast-1,terraform-svc,Go-http-client/1.1,,3,88,1,0,0,0,0,0,SUSPICIOUS
req-0002f2-1305,2024-01-03T13:30:01Z,RunInstances,ec2.amazonaws.com,198.51.100.77,us-east-1,devops,python-requests/2.31,,3,49,1,0,0,0,0,0,SUSPICIOUS
req-000148-2970,2024-01-26T15:36:43Z,GetCallerIdentity,sts.amazonaws.com,10.0.0.1,us-west-2,api-user,AWS Internal,,4,3,0,0,0,0,0,0,NORMAL
req-00017f-6281,2024-01-21T18:11:32Z,DescribeInstances,ec2.amazonaws.com,10.0.1.20,eu-west-2,svc-lambda,Boto3/1.28.0,,4,12,0,0,0,0,0,0,NORMAL
req-0001c4-7527,2024-01-09T11:35:54Z,GetObject,s3.amazonaws.com,172.31.0.10,us-west-2,iam-readonly,Terraform/1.5.0,,4,1,0,0,0,0,0,0,NORMAL
req-00020b-7235,2024-01-26T18:32:39Z,ConsoleLogin,signin.amazonaws.com,10.0.2.45,ap-south-1,svc-lambda,console.aws.amazon.com,,1,7,0,0,0,0,0,0,NORMAL
req-0000db-5285,2024-01-13T11:29:34Z,AssumeRole,sts.amazonaws.com,10.0.2.45,us-east-1,svc-billing,Boto3/1.28.0,,2,5,0,0,0,0,0,0,NORMAL
req-000314-1674,2024-01-10T02:28:33Z,RunInstances,ec2.amazonaws.com,185.220.101.47,ru-central-1,admin,Terraform/1.5.0,,2,49,1,0,1,0,0,0,SUSPICIOUS
req-0001b5-6703,2024-01-10T15:46:53Z,GetCallerIdentity,sts.amazonaws.com,192.168.1.100,us-west-2,terraform-svc,aws-cli/2.13.0,,4,15,0,0,0,0,0,0,NORMAL
req-0002fd-9731,2024-01-24T16:50:17Z,GetSecretValue,secretsmanager.amazonaws.com,192.168.1.100,ap-northeast-1,john.doe,aws-cli/2.13.0,,1,22,0,0,0,0,0,1,SUSPICIOUS
req-000059-2315,2024-01-09T19:21:39Z,ConsoleLogin,signin.amazonaws.com,172.16.0.5,ca-central-1,admin,AWS Internal,,3,11,0,0,0,0,0,0,NORMAL
req-000040-1282,2024-01-23T10:30:41Z,GetCallerIdentity,sts.amazonaws.com,172.16.0.5,eu-west-2,api-user,Boto3/1.28.0,,3,8,0,0,0,0,0,0,NORMAL
req-00033b-1462,2024-01-08T23:15:30Z,RunInstances,ec2.amazonaws.com,103.21.244.0,sa-east-1,terraform-svc,Mozilla/5.0 (unknown),AccessDenied,0,66,1,0,1,0,1,0,SUSPICIOUS
req-0002cd-4428,2024-01-04T06:52:01Z,CreateAccessKey,iam.amazonaws.com,192.0.2.45,ru-central-1,root,Mozilla/5.0 (unknown),,1,23,1,0,0,0,0,0,SUSPICIOUS
req-000160-3595,2024-01-15T07:17:13Z,AssumeRole,sts.amazonaws.com,52.94.228.167,us-east-1,svc-lambda,console.aws.amazon.com,,1,10,0,0,0,0,0,0,NORMAL
req-0003a9-6502,2024-01-14T03:22:22Z,StopLogging,cloudtrail.amazonaws.com,45.155.205.12,eu-west-2,john.doe,libwww-perl/6.07,AccessDenied,39,74,1,0,1,1,1,1,ATTACK
req-000101-4065,2024-01-18T09:10:31Z,GetCallerIdentity,sts.amazonaws.com,52.94.228.167,ca-central-1,terraform-svc,Terraform/1.5.0,,2,3,0,0,0,0,0,0,NORMAL
req-00027c-3938,2024-01-21T08:42:57Z,DescribeSecurityGroups,ec2.amazonaws.com,172.16.0.5,ap-northeast-1,svc-lambda,Boto3/1.28.0,,2,7,0,0,0,0,0,0,NORMAL
req-000285-4712,2024-01-05T10:54:44Z,AssumeRole,sts.amazonaws.com,54.239.28.85,ap-south-1,iam-readonly,console.aws.amazon.com,,1,12,0,0,0,0,0,0,NORMAL
req-00022b-8972,2024-01-23T15:15:11Z,DescribeSecurityGroups,ec2.amazonaws.com,34.224.10.5,eu-west-2,iam-readonly,console.aws.amazon.com,,0,12,0,0,0,0,0,0,NORMAL
req-0003c0-7444,2024-01-03T03:35:49Z,DeleteTrail,cloudtrail.amazonaws.com,185.220.101.47,sa-east-1,john.doe,libwww-perl/6.07,,25,83,1,0,1,1,0,1,ATTACK
req-0000a9-9501,2024-01-06T09:20:59Z,GetCallerIdentity,sts.amazonaws.com,172.31.5.22,ap-south-1,john.doe,aws-cli/2.13.0,,1,6,0,0,0,0,0,0,NORMAL
req-000396-6942,2024-01-21T02:27:12Z,DeleteBucket,s3.amazonaws.com,91.108.4.1,sa-east-1,root,curl/7.88.1,UnauthorizedOperation,22,33,1,1,1,0,1,0,ATTACK
req-000211-6901,2024-01-19T16:50:35Z,GetCallerIdentity,sts.amazonaws.com,172.16.0.5,ap-northeast-1,svc-lambda,console.aws.amazon.com,,1,8,0,0,0,0,0,0,NORMAL
req-000338-4206,2024-01-16T19:04:21Z,GetSecretValue,secretsmanager.amazonaws.com,198.51.100.77,cn-north-1,svc-billing,console.aws.amazon.com,,1,80,1,0,0,0,0,1,SUSPICIOUS
req-0003da-1432,2024-01-14T02:29:26Z,DeleteTrail,cloudtrail.amazonaws.com,91.108.4.1,cn-north-1,admin,Go-http-client/1.1,AccessDenied,31,79,1,1,1,0,1,1,ATTACK
req-000331-5556,2024-01-20T23:28:47Z,GetSecretValue,secretsmanager.amazonaws.com,185.220.101.47,eu-west-2,admin,AWS Internal,,2,37,1,0,1,0,0,1,SUSPICIOUS
req-000057-3492,2024-01-30T18:51:24Z,ListBuckets,s3.amazonaws.com,192.168.1.100,ap-south-1,svc-lambda,console.aws.amazon.com,,3,11,0,0,0,0,0,0,NORMAL
req-0001b1-7075,2024-01-14T16:05:04Z,ConsoleLogin,signin.amazonaws.com,172.31.5.22,ap-south-1,john.doe,aws-cli/2.13.0,,2,4,0,0,0,0,0,0,NORMAL
req-0000b9-8225,2024-01-19T07:44:07Z,ListBuckets,s3.amazonaws.com,10.0.1.20,ap-south-1,svc-lambda,AWS Internal,,1,1,0,0,0,0,0,0,NORMAL
req-0003d3-7836,2024-01-06T23:16:58Z,PutUserPolicy,iam.amazonaws.com,192.0.2.45,sa-east-1,admin,libwww-perl/6.07,UnauthorizedOperation,27,62,1,1,1,0,1,1,ATTACK
req-000217-5919,2024-01-10T18:16:50Z,ConsoleLogin,signin.amazonaws.com,54.239.28.85,us-east-1,svc-lambda,AWS Internal,,0,5,0,0,0,0,0,0,NORMAL
req-000127-7461,2024-01-19T08:06:32Z,GetObject,s3.amazonaws.com,34.224.10.5,eu-west-2,terraform-svc,console.aws.amazon.com,,1,11,0,0,0,0,0,0,NORMAL
req-00037d-3711,2024-01-22T15:34:55Z,PutBucketPolicy,s3.amazonaws.com,192.0.2.45,ru-central-1,iam-readonly,aws-cli/2.13.0,,4,29,1,0,0,0,0,0,SUSPICIOUS
req-0001aa-9680,2024-01-17T13:26:23Z,GetObject,s3.amazonaws.com,34.224.10.5,ca-central-1,svc-lambda,aws-cli/2.13.0,,0,12,0,0,0,0,0,0,NORMAL
req-0002ca-5342,2024-01-10T22:20:37Z,GetSecretValue,secretsmanager.amazonaws.com,91.108.4.1,eu-west-2,admin,Terraform/1.5.0,,3,77,1,0,1,0,0,1,SUSPICIOUS
req-000105-2677,2024-01-24T19:28:34Z,DescribeInstances,ec2.amazonaws.com,34.224.10.5,ap-northeast-1,iam-readonly,AWS Internal,,1,7,0,0,0,0,0,0,NORMAL
req-0000ee-3274,2024-01-19T10:33:10Z,GetCallerIdentity,sts.amazonaws.com,10.0.2.45,ap-northeast-1,terraform-svc,console.aws.amazon.com,,3,3,0,0,0,0,0,0,NORMAL
req-000230-1510,2024-01-27T15:22:07Z,DescribeSecurityGroups,ec2.amazonaws.com,10.0.0.1,ca-central-1,admin,AWS Internal,,2,14,0,0,0,0,0,0,NORMAL
req-000248-1014,2024-01-25T11:28:01Z,GetObject,s3.amazonaws.com,10.0.2.45,ap-south-1,api-user,aws-cli/2.13.0,,3,3,0,0,0,0,0,0,NORMAL
req-0001be-3101,2024-01-30T19:32:17Z,GetObject,s3.amazonaws.com,172.31.0.10,us-east-1,john.doe,Terraform/1.5.0,,3,4,0,0,0,0,0,0,NORMAL
req-000364-3090,2024-01-18T17:38:56Z,AttachUserPolicy,iam.amazonaws.com,54.239.28.85,ca-central-1,svc-lambda,libwww-perl/6.07,,3,81,0,0,0,0,0,1,SUSPICIOUS
req-000321-6388,2024-01-27T02:25:38Z,AuthorizeSecurityGroupIngress,ec2.amazonaws.com,45.155.205.12,us-west-2,root,Mozilla/5.0 (unknown),,1,87,1,0,1,0,0,0,SUSPICIOUS
req-000258-3444,2024-01-09T10:03:12Z,DescribeSecurityGroups,ec2.amazonaws.com,172.31.5.22,eu-west-2,svc-lambda,Terraform/1.5.0,,0,13,0,0,0,0,0,0,NORMAL
req-000352-1886,2024-01-13T17:06:08Z,CreateAccessKey,iam.amazonaws.com,185.220.101.47,us-west-2,root,curl/7.88.1,AccessDenied,2,94,1,0,0,0,1,0,SUSPICIOUS
req-00010a-5402,2024-01-22T20:25:31Z,AssumeRole,sts.amazonaws.com,172.16.0.5,us-east-1,john.doe,aws-cli/2.13.0,,1,10,0,0,0,0,0,0,NORMAL
req-0003e4-8925,2024-01-26T02:48:42Z,TerminateInstances,ec2.amazonaws.com,45.155.205.12,cn-north-1,john.doe,Go-http-client/1.1,UnauthorizedOperation,24,70,1,0,1,0,1,0,ATTACK
req-000212-5797,2024-01-25T08:27:53Z,GetObject,s3.amazonaws.com,10.0.0.1,eu-west-2,devops,Boto3/1.28.0,,4,2,0,0,0,0,0,0,NORMAL
req-000038-5198,2024-01-04T17:36:13Z,GetObject,s3.amazonaws.com,172.16.0.5,ap-south-1,john.doe,aws-cli/2.13.0,,3,12,0,0,0,0,0,0,NORMAL
req-000079-1502,2024-01-19T09:42:25Z,DescribeInstances,ec2.amazonaws.com,10.0.2.45,eu-west-2,john.doe,AWS Internal,,0,3,0,0,0,0,0,0,NORMAL
req-0000d8-9775,2024-01-03T17:59:28Z,GetObject,s3.amazonaws.com,34.224.10.5,us-east-1,john.doe,aws-cli/2.13.0,,2,2,0,0,0,0,0,0,NORMAL
req-00001a-5915,2024-01-11T18:15:16Z,GetCallerIdentity,sts.amazonaws.com,34.224.10.5,ca-central-1,john.doe,Terraform/1.5.0,,3,3,0,0,0,0,0,0,NORMAL
